Product Name,Opportunity Owner,Opportunity Name,Created Date,Close Date,Close Month,Close Quarter,Close Year,Age,Stage,Probability,Forecast Category,ARR,TCV,Last Activity,Next Step
Product 2,Owner 3,302,1/11/2020,1/31/2020,Month 1,Q1,1,20,Closed Won,100%,Commit,"$12,500 ",,1/30/2020,Confirm Speaker and Budget
Product 2,Owner 2,147,11/3/2017,1/31/2020,Month 1,Q1,1,89,Closed Won,100%,Commit,"$25,000 ",,,"Signed agreement received, awaiting payment from client"
Product 1,Owner 2,1934,7/24/2017,2/5/2020,Month 2,Q1,1,196,Closed Won,100%,Commit,"$200,000 ",,12/14/2017,Sales Ops Updates
Product 1,Owner 3,359,11/23/2016,2/5/2020,Month 2,Q1,1,439,Closed Lost,0%,Omitted,"$125,000 ",,,close
Product 1,Owner 1,549,12/12/2017,2/6/2020,Month 2,Q1,1,56,Closed Won,100%,Commit,"$125,000 ",,8/14/2020,Sales Ops Updates
Product 2,Owner 3,934,2/7/2020,2/7/2020,Month 2,Q1,1,0,Closed Lost,0%,Omitted,"$10,000 ",,,awaiting details from client
Product 1,Owner 1,1290,8/18/2017,2/8/2020,Month 2,Q1,1,174,Closed Lost,0%,Omitted,"$30,000 ",,,postponed to 2018. see Note
Product 1,Owner 2,1175,2/2/2020,2/9/2020,Month 2,Q1,1,7,Closed Lost,0%,Omitted,"$10,000 ",,2/5/2020,Client decision on David Hunt
Product 1,Owner 2,1730,10/22/2017,2/14/2020,Month 2,Q1,1,115,Closed Won,100%,Commit,"$230,000 ",,4/3/2020,Sales Ops Updates
Product 2,Owner 3,239,2/8/2020,2/16/2020,Month 2,Q1,1,8,Closed Won,100%,Commit,"$12,500 ",,,"Speaker Rider with Legal, still awaiting signed agreement from Citi"
Product 1,Owner 3,288,2/7/2020,2/19/2020,Month 2,Q1,1,12,Closed Won,100%,Commit,"$100,000 ",,2/23/2020,Sales Ops Updates
Product 1,Owner 1,519,2/12/2020,2/21/2020,Month 2,Q1,1,9,Closed Lost,0%,Omitted,"$150,000 ",,,none
Product 1,Owner 3,281,1/24/2020,2/23/2020,Month 2,Q1,1,30,Closed Lost,0%,Omitted,"$25,000 ",,1/2/2021,Feedback from Kris/End-client
Product 1,Owner 2,1082,1/4/2020,2/23/2020,Month 2,Q1,1,50,Closed Lost,0%,Omitted,"$10,000 ",,,N/A
Product 2,Owner 2,1083,1/4/2020,2/23/2020,Month 2,Q1,1,50,Closed Lost,0%,Omitted,"$10,000 ",,,Confirm Speaker and Budget
Product 1,Owner 5,209,7/21/2017,2/26/2020,Month 2,Q1,1,220,Closed Won,100%,Commit,"$150,000 ",,7/11/2020,SU contract signature
Product 2,Owner 2,1086,2/9/2020,2/27/2020,Month 2,Q1,1,18,Closed Won,100%,Commit,"$10,000 ",,,confirm venue and speaker
Product 1,Owner 1,591,12/8/2017,2/27/2020,Month 2,Q1,1,81,Closed Lost,0%,Omitted,"$10,000 ",,2/5/2020,closed
Product 1,Owner 3,900,11/15/2017,2/27/2020,Month 2,Q1,1,104,Closed Lost,0%,Omitted,"$10,000 ",,2/12/2020,Let Flavio know we need an answer; need to close this rqst out
Product 2,Owner 3,923,10/19/2017,2/27/2020,Month 2,Q1,1,131,Closed Lost,0%,Omitted,"$25,000 ",,,Sales Ops Updates
Product 2,Owner 2,774,2/26/2020,2/28/2020,Month 2,Q1,1,2,Closed Won,100%,Commit,"$10,000 ",,3/2/2020,Contract
Product 1,Owner 3,927,2/13/2020,2/28/2020,Month 2,Q1,1,15,Closed Lost,0%,Omitted,"$15,000 ",,2/13/2020,Firm Offer
Product 1,Owner 3,346,2/12/2020,2/28/2020,Month 2,Q1,1,16,Closed Lost,0%,Omitted,"$180,000 ",,11/15/2020,N/A
Product 1,Owner 5,208,1/31/2020,2/28/2020,Month 2,Q1,1,28,Closed Lost,0%,Omitted,"$100,000 ",,8/9/2020,"Called and left message for Melanie Bell, who was Greg's contact"
Product 1,Owner 3,942,8/23/2017,2/28/2020,Month 2,Q1,1,189,Closed Lost,0%,Omitted,"$250,000 ",,,#NAME?
Product 1,Owner 1,600,12/15/2017,3/1/2020,Month 3,Q1,1,76,Closed Lost,0%,Omitted,"$25,000 ",,,n/a
Product 1,Owner 4,389,2/23/2020,3/2/2020,Month 3,Q1,1,7,Closed Lost,0%,Omitted,"$20,000 ",,1/22/2020,Answer from client
Product 1,Owner 2,839,2/1/2020,3/2/2020,Month 3,Q1,1,29,Closed Lost,0%,Omitted,"$50,000 ",,2/5/2020,n/a
Product 1,Owner 1,583,1/23/2020,3/2/2020,Month 3,Q1,1,38,Closed Lost,0%,Omitted,"$25,000 ",,,"Carin is in conversation with client, awaiting her go-ahead"
Product 2,Owner 3,1074,3/1/2020,3/6/2020,Month 3,Q1,1,5,Closed Won,100%,Commit,"$15,000 ",,,f/u
Product 2,Owner 4,497,2/1/2020,3/7/2020,Month 3,Q1,1,34,Closed Won,100%,Commit,"$30,000 ",,2/21/2020,Agreement Executed
Product 2,Owner 3,1047,12/11/2017,3/7/2020,Month 3,Q1,1,86,Closed Won,100%,Commit,"$30,000 ",,1/31/2020,Agreement Executed
Product 1,Owner 2,116,3/9/2021,3/12/2020,Month 3,Q1,1,728,Closed Won,100%,Commit,$0 ,,,Sales Ops Updates
Product 1,Owner 2,78,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,79,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,80,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,81,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,82,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,83,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,84,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,85,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,86,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,87,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,88,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,89,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,90,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,91,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,92,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,93,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,94,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,95,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,96,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,97,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,98,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,99,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,100,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,101,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,102,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,103,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,104,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,105,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,106,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,107,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,108,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,109,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,110,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,111,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,112,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,113,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,114,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 1,Owner 2,115,1/5/2020,3/12/2020,Month 3,Q1,1,85,Closed Won,100%,Commit,"$31,250 ",,,Sales Ops updates
Product 2,Owner 5,204,2/13/2020,3/12/2020,Month 3,Q1,1,27,Closed Won,100%,Commit,"$30,000 ",,,"10 of 12 requested speakers are booked for other SU programs; client must decide between 2 available, Salim (virtual) or Nathaniel"
Product 1,Owner 3,905,2/8/2020,3/12/2020,Month 3,Q1,1,32,Closed Lost,0%,Omitted,"$50,000 ",,2/26/2020,confirmation from FacOps
Product 1,Owner 2,144,4/12/2017,3/12/2020,Month 3,Q1,1,334,Closed Lost,0%,Omitted,"$150,000 ",,5/10/2017,awaiting client proposal feedback
Product 1,Owner 2,1169,1/11/2020,3/13/2020,Month 3,Q1,1,61,Closed Won,100%,Commit,"$50,000 ",,1/11/2020,Closed Won
Product 1,Owner 2,1170,1/11/2020,3/13/2020,Month 3,Q1,1,61,Closed Won,100%,Commit,"$50,000 ",,1/11/2020,Closed Won
Product 1,Owner 2,1171,1/11/2020,3/13/2020,Month 3,Q1,1,61,Closed Won,100%,Commit,"$50,000 ",,1/11/2020,Closed Won
Product 1,Owner 2,1172,1/11/2020,3/13/2020,Month 3,Q1,1,61,Closed Won,100%,Commit,"$50,000 ",,1/11/2020,Closed Won
Product 1,Owner 2,1935,12/12/2017,3/13/2020,Month 3,Q1,1,91,Closed Won,100%,Commit,"$40,000 ",,12/12/2017,Sales Ops updates
Product 1,Owner 3,928,2/19/2020,3/14/2020,Month 3,Q1,1,23,Closed Lost,0%,Omitted,"$25,000 ",,,Client's feedback on proposal
Product 2,Owner 4,376,1/4/2020,3/14/2020,Month 3,Q1,1,69,Closed Won,100%,Commit,"$15,000 ",,2/7/2020,"Received signed contract, awaiting crossexecuted from SU"
Product 2,Owner 5,223,12/11/2017,3/14/2020,Month 3,Q1,1,93,Closed Won,100%,Commit,"$19,985 ",,,This was going to be a program but learned Thur it needs to be booked through SB
Product 2,Owner 3,335,1/16/2020,3/15/2020,Month 3,Q1,1,58,Closed Lost,0%,Omitted,"$25,000 ",,2/23/2020,"Moving to contract at $25,000"
Product 1,Owner 2,1113,2/28/2020,3/16/2020,Month 3,Q1,1,16,Closed Lost,0%,Omitted,"$30,000 ",,,confirm availability (FacOps)
Product 2,Owner 3,912,2/9/2020,3/16/2020,Month 3,Q1,1,35,Closed Won,100%,Commit,"$10,000 ",,3/29/2020,Will have Client's decision by Monday 2/19
Product 2,Owner 2,1179,1/30/2020,3/16/2020,Month 3,Q1,1,45,Closed Won,100%,Commit,"$40,000 ",,5/9/2020,"contract w/client, awaiting signature"
Product 1,Owner 1,1336,1/25/2020,3/19/2020,Month 3,Q1,1,53,Closed Lost,0%,Omitted,"$75,000 ",,3/7/2020,Contract with Client
Product 1,Owner 1,1337,1/25/2020,3/19/2020,Month 3,Q1,1,53,Closed Lost,0%,Omitted,"$300,000 ",,3/7/2020,Contract with Client
Product 3,Owner 1,1338,1/25/2020,3/19/2020,Month 3,Q1,1,53,Closed Lost,0%,Omitted,"$10,000 ",,3/7/2020,Contract with Client
Product 1,Owner 1,1380,12/10/2017,3/19/2020,Month 3,Q1,1,99,Closed Won,100%,Commit,"$125,000 ",,3/21/2020,invoice sent to client 3/21
Product 1,Owner 2,1818,10/22/2017,3/19/2020,Month 3,Q1,1,148,Closed Won,100%,Commit,"$200,000 ",,3/14/2020,Sales Ops Updates
Product 2,Owner 4,380,3/23/2020,3/22/2020,Month 3,Q1,1,1,Closed Lost,0%,Omitted,"$15,000 ",,,Follow Up on Rescheduling
Product 2,Owner 2,1137,2/16/2020,3/22/2020,Month 3,Q1,1,34,Closed Lost,0%,Omitted,"$25,000 ",,5/8/2020,Feedback from Gabi on proposal
Product 1,Owner 1,1921,2/22/2020,3/23/2020,Month 3,Q1,1,29,Closed Won,100%,Commit,"$193,334 ",,3/26/2020,Sales Ops Updates
Product 2,Owner 3,305,2/8/2020,3/23/2020,Month 3,Q1,1,43,Closed Lost,0%,Omitted,"$20,000 ",,,release
Product 2,Owner 3,989,2/19/2020,3/26/2020,Month 3,Q1,1,35,Closed Lost,0%,Omitted,"$25,000 ",,,Gave client final notice to move forward
Product 3,Owner 3,363,12/14/2017,3/26/2020,Month 3,Q1,1,102,Closed Won,100%,Commit,"$175,000 ",,1/26/2020,"Cross-signed, implementing"
Product 3,Owner 3,364,12/14/2017,3/26/2020,Month 3,Q1,1,102,Closed Won,100%,Commit,"$175,000 ",,1/26/2020,"Cross-signed, implementing"
Product 1,Owner 2,1108,7/6/2017,3/26/2020,Month 3,Q1,1,263,Closed Won,100%,Commit,"$150,000 ",,1/15/2021,run the program
Product 1,Owner 5,219,5/22/2017,3/26/2020,Month 3,Q1,1,308,Closed Won,100%,Commit,"$360,000 ",,,Sales Ops Updates
Product 1,Owner 1,1922,1/24/2020,3/27/2020,Month 3,Q1,1,62,Closed Won,100%,Commit,"$193,333 ",,4/14/2020,Sales Ops updates
Product 1,Owner 1,1923,2/16/2020,3/28/2020,Month 3,Q1,1,40,Closed Won,100%,Commit,"$193,333 ",,3/26/2020,SalesOps Updates
Product 2,Owner 3,304,2/14/2020,3/28/2020,Month 3,Q1,1,42,Closed Won,100%,Commit,"$12,500 ",,4/5/2020,Tiffany n/a (in EP); pre-booking call with Mike Gillam
Product 2,Owner 2,1144,1/22/2020,3/28/2020,Month 3,Q1,1,65,Closed Lost,0%,Omitted,"$25,000 ",,,several speakers on hold or already booked
Product 1,Owner 1,1377,3/19/2020,3/29/2020,Month 3,Q1,1,10,Closed Won,100%,Commit,"$75,000 ",,5/14/2020,invoice sent to client
Product 1,Owner 2,1317,1/12/2020,3/29/2020,Month 3,Q1,1,76,Closed Won,100%,Commit,"$150,000 ",,2/7/2020,Sales Ops Updates
Product 1,Owner 2,1318,1/12/2020,3/29/2020,Month 3,Q1,1,76,Closed Won,100%,Commit,"$75,000 ",,2/7/2020,Sales Ops Updates
Product 1,Owner 4,448,3/2/2017,3/29/2020,Month 3,Q1,1,392,Closed Lost,0%,Omitted,"$300,000 ",,,waiting on client
Product 1,Owner 1,1493,3/13/2020,3/30/2020,Month 3,Q1,1,17,Closed Lost,0%,Omitted,"$120,000 ",,,Proposal
Product 1,Owner 1,1746,3/13/2020,3/30/2020,Month 3,Q1,1,17,Closed Lost,0%,Omitted,"$275,000 ",,,Pitching day after SA Summit
Product 1,Owner 2,134,3/5/2020,3/30/2020,Month 3,Q1,1,25,Closed Won,100%,Commit,"$40,000 ",,,Sales Ops Updates
Product 2,Owner 5,210,2/19/2020,3/30/2020,Month 3,Q1,1,39,Closed Lost,0%,Omitted,"$40,000 ",,2/26/2021,Follow up to see if they have a larger budget for 2019 event
Product 1,Owner 1,1544,1/16/2020,3/30/2020,Month 3,Q1,1,73,Closed Lost,0%,Omitted,"$85,000 ",,1/25/2021,contract sent to client 2/15
Product 1,Owner 2,1847,1/15/2020,3/30/2020,Month 3,Q1,1,74,Closed Won,100%,Commit,"$520,000 ",,,Sales Ops Updates
Product 1,Owner 2,1184,11/2/2017,3/30/2020,Month 3,Q1,1,148,Closed Won,100%,Commit,"$72,750 ",,12/18/2017,Awaiting Signed Agreement
Product 1,Owner 5,207,3/12/2020,3/31/2020,Month 3,Q1,1,19,Closed Lost,0%,Omitted,"$75,000 ",,7/16/2020,Client | Provide Feedback and Questions on Proposal
Product 1,Owner 4,405,2/20/2020,3/31/2020,Month 3,Q1,1,39,Closed Lost,0%,Omitted,"$90,000 ",,10/16/2020,JK to send info
Product 2,Owner 5,197,2/15/2020,3/31/2020,Month 3,Q1,1,44,Closed Lost,0%,Omitted,"$10,000 ",,,n/a
Product 1,Owner 4,377,2/13/2020,3/31/2020,Month 3,Q1,1,46,Closed Lost,0%,Omitted,"$50,000 ",,,Follow Up
Product 2,Owner 2,1140,2/13/2020,3/31/2020,Month 3,Q1,1,46,Closed Lost,0%,Omitted,"$30,000 ",,2/14/2020,"event details from client, confirm budget"
Product 1,Owner 1,564,1/31/2020,3/31/2020,Month 3,Q1,1,59,Closed Lost,0%,Omitted,"$200,000 ",,,Respond to reaction to our initial proposed approach
Product 1,Owner 2,719,10/24/2017,4/1/2020,Month 4,Q2,1,159,Closed Lost,0%,Omitted,"$50,000 ",,10/26/2017,"12/11 This will be a live event Feb 9th. 11/30 speakers TBD. confirmed program dates Feb 5 or 9th 2017.scheduled follow up team call. Nicole to confirm budget, dates, faculty and location."
Product 1,Owner 4,447,7/31/2017,4/1/2020,Month 4,Q2,1,244,Closed Lost,0%,Omitted,"$200,000 ",,12/4/2017,Awaiting response from Steve Katz on next steps following internal conversation with Phil Wiser
Product 3,Owner 2,787,9/28/2017,4/4/2020,Month 4,Q2,1,188,Closed Won,100%,Commit,"$375,000 ",,4/22/2021,SR Follow Up
Product 1,Owner 4,421,3/23/2020,4/5/2020,Month 4,Q2,1,13,Closed Lost,0%,Omitted,"$15,000 ",,4/5/2020,Confirm Speaker
Product 1,Owner 1,599,3/12/2020,4/6/2020,Month 4,Q2,1,25,Closed Won,100%,Commit,"$50,000 ",,,Contract signed
Product 1,Owner 3,903,4/3/2020,4/9/2020,Month 4,Q2,1,6,Closed Lost,0%,Omitted,"$20,000 ",,2/1/2021,Awaiting feedback from Rave Speakers
Product 1,Owner 2,154,3/29/2020,4/9/2020,Month 4,Q2,1,11,Closed Lost,0%,Omitted,"$15,000 ",,7/17/2021,Address Fac availability issue (most speakers are holding for other events)
Product 2,Owner 4,381,3/26/2020,4/9/2020,Month 4,Q2,1,14,Closed Lost,0%,Omitted,"$15,000 ",,3/29/2020,F/U with Jason on next steps
Product 2,Owner 1,559,2/26/2020,4/9/2020,Month 4,Q2,1,42,Closed Lost,0%,Omitted,"$20,000 ",,,Confirmation from FacOps on availability; feedback from client
Product 1,Owner 5,198,1/31/2020,4/9/2020,Month 4,Q2,1,68,Closed Won,100%,Commit,"$300,000 ",,3/12/2020,Sales Ops Updates
Product 2,Owner 3,975,3/26/2020,4/10/2020,Month 4,Q2,1,15,Closed Won,100%,Commit,"$10,000 ",,,pre-event call (FacOps handling)
Product 2,Owner 1,516,2/21/2020,4/10/2020,Month 4,Q2,1,48,Closed Won,100%,Commit,"$15,000 ",,2/27/2020,cross-executed agreement
Product 1,Owner 1,3,8/23/2017,4/10/2020,Month 4,Q2,1,230,Closed Lost,0%,Omitted,"$250,000 ",,5/7/2020,Closed Lost
Product 1,Owner 1,1545,1/16/2020,4/11/2020,Month 4,Q2,1,85,Closed Won,100%,Commit,"$75,000 ",,1/8/2021,Create PIR for new date of June 10th and 11th
Product 1,Owner 1,1546,1/16/2020,4/11/2020,Month 4,Q2,1,85,Closed Won,100%,Commit,"$75,000 ",,1/8/2021,Create PIR for new date of June 10th and 11th
Product 1,Owner 1,1751,1/25/2017,4/11/2020,Month 4,Q2,1,441,Closed Lost,0%,Omitted,"$90,000 ",,,Stalled due to reorg.
Product 1,Owner 3,978,4/11/2020,4/12/2020,Month 4,Q2,1,1,Closed Lost,0%,Omitted,"$10,000 ",,9/26/2020,Confirm timing of event
Product 1,Owner 3,1068,1/24/2020,4/17/2020,Month 4,Q2,1,83,Closed Lost,0%,Omitted,"$100,000 ",,1/22/2020,"we pinged Tim again on 3/28, may have to throw in towel absent a response"
Product 1,Owner 1,1873,1/24/2020,4/17/2020,Month 4,Q2,1,83,Closed Won,100%,Commit,"$300,000 ",,11/30/2020,client invoiced
Product 3,Owner 1,1874,1/24/2020,4/17/2020,Month 4,Q2,1,83,Closed Won,100%,Commit,"$100,000 ",,11/30/2020,client invoiced
Product 1,Owner 2,1087,4/2/2020,4/18/2020,Month 4,Q2,1,16,Closed Lost,0%,Omitted,"$25,000 ",,4/4/2020,feedback on speaker proposal
Product 1,Owner 3,1051,3/25/2020,4/19/2020,Month 4,Q2,1,25,Closed Lost,0%,Omitted,"$15,000 ",,8/30/2020,n/a
Product 2,Owner 3,1052,4/9/2020,4/20/2020,Month 4,Q2,1,11,Closed Won,100%,Commit,"$15,000 ",,,"Sent contract to Oren, need signed back today"
Product 1,Owner 3,1075,3/30/2020,4/20/2020,Month 4,Q2,1,21,Closed Lost,0%,Omitted,"$150,000 ",,10/2/2020,sent final notice to Oren to let him know we never heard from Coril; closing request out
Product 1,Owner 5,174,3/17/2020,4/20/2020,Month 4,Q2,1,34,Closed Won,100%,Commit,"$300,000 ",,1/17/2021,Sales Ops Updates
